City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
383,Gualeguaychu,AR,79.03,few clouds,-33.0094,-58.5172,Hotel Los Angeles
385,Mangai,CD,78.84,overcast clouds,-4.05,19.5333,
387,Huarmey,PE,76.24,few clouds,-10.0681,-78.1522,Hotel Miramar
390,Lagoa,PT,58.6,broken clouds,39.05,-27.9833,Casa Das Faias
394,Kigoma,TZ,73.87,light rain,-4.8769,29.6267,MJI Mwema Lodge
396,Hambantota,LK,76.17,clear sky,6.1241,81.1185,Bungalow 63
398,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
399,Hyeres,FR,57.97,clear sky,43.1167,6.1167,Hôtel des Palmiers
400,Sambava,MG,76.57,light rain,-14.2667,50.1667,Melrose
402,Los Llanos De Aridane,ES,67.12,few clouds,28.6585,-17.9182,Valle Aridane
403,Baculin,PH,76.6,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
406,Pacific Grove,US,57.58,clear sky,36.6177,-121.9166,Lovers Point Inn
407,Yarada,IN,73.72,haze,17.65,83.2667,Yarada Jungle Beach Resorts
408,Necochea,AR,65.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
411,Port Elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
412,Beni,CD,70.97,overcast clouds,0.5,29.4667,Albertine hotel
413,A Coruna,ES,56.48,few clouds,43.3713,-8.396,Hotel Zenit Coruña
415,Cabatuan,PH,73.89,scattered clouds,10.8794,122.486,MVC Transient Room
419,Bam,IR,64.87,clear sky,29.106,58.357,Bam Tourist Hotel
420,Port Lincoln,AU,65.8,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
423,Bagotville,AU,71.42,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
427,Maramba,TZ,69.39,overcast clouds,-5.05,38.6167,
429,Kismayo,SO,78.42,overcast clouds,-0.3582,42.5454,Agan-Hotel
432,Chiredzi,ZW,78.69,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
433,Umm Kaddadah,SD,64.96,broken clouds,13.6017,26.6876,
448,Bac Lieu,VN,79.41,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
449,Hokitika,NZ,55.22,light rain,-42.7167,170.9667,Beachfront Hotel Hokitika
452,Vondrozo,MG,70.14,heavy intensity rain,-22.8167,47.2833,
453,Baracoa,CU,77.9,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
454,Farah,AF,53.62,overcast clouds,32.5,62.5,
458,Rincon,US,51.85,few clouds,32.296,-81.2354,Days Inn Rincon
460,Arantangi,IN,77.32,overcast clouds,10.1667,78.9833,Hotel Sami V Landmarks
463,Jinka,ET,67.77,overcast clouds,5.65,36.65,
465,Carahue,CL,71.8,clear sky,-38.7,-73.1667,Hospedaje Familiar
468,Manggar,ID,78.48,overcast clouds,-2.8833,108.2667,Guest Hotel
470,Guerrero,MX,77.07,clear sky,17.6667,-100.0,Villaxochilt
476,Jasdan,IN,66.56,clear sky,22.0333,71.2,આવકાર હોટલ
477,Gorontalo,ID,74.07,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
480,Kutum,SD,62.33,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
483,Kano,NG,76.89,dust,12.0001,8.5167,Havana Guest Inn
486,Cosolapa,MX,58.19,overcast clouds,18.5833,-96.65,Iglesia Nuestra Señora de Guadalupe
488,Vao,NC,79.68,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
490,Quthing,LS,69.06,broken clouds,-30.4,27.7003,Mountainside Hotel
492,Sibolga,ID,75.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
501,Harnoli,PK,56.82,broken clouds,32.2792,71.5539,Masjid Kosar Tableeghi Markaz
504,Santa Maria,BR,79.9,light rain,-29.6842,-53.8069,Hotel Morotin
505,Barcelos,PT,60.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
519,Puerto Penasco,MX,55.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
