City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
178,Mulchen,CL,-37.7167,-72.2333,75.06,22,0,7.67,clear sky
179,Ahipara,NZ,-35.1667,173.1667,70.86,98,98,6.29,overcast clouds
180,Callaway,US,30.153,-85.5699,45.91,60,43,7.0,scattered clouds
181,Rawson,AR,-43.3002,-65.1023,62.73,45,0,11.79,clear sky
182,Yulara,AU,-25.2406,130.9889,67.84,49,0,4.61,clear sky
183,Ponta Do Sol,PT,32.6667,-17.1,73.13,39,2,12.48,clear sky
184,Sunland Park,US,31.7965,-106.58,36.3,56,0,1.01,clear sky
185,Boshnyakovo,RU,49.6333,142.1667,6.1,94,100,13.44,overcast clouds
186,Poso,ID,-1.3959,120.7524,76.78,87,100,3.69,overcast clouds
187,Bose,IT,45.4612,8.0137,53.19,68,1,1.9,clear sky
188,Barcelona,ES,41.3888,2.159,60.3,83,40,1.01,scattered clouds
189,Ust-Ishim,RU,57.6935,71.1665,21.65,89,100,5.99,overcast clouds
190,Tambopata,PE,-12.7333,-69.1833,85.89,66,40,6.91,scattered clouds
191,Hamilton,US,39.1834,-84.5333,24.04,74,40,1.99,scattered clouds
192,Yar,RU,58.249,52.1026,24.55,95,100,7.72,overcast clouds
193,Fortuna,US,40.5982,-124.1573,43.66,97,100,8.05,overcast clouds
194,Plettenberg Bay,ZA,-34.0527,23.3716,71.76,77,2,21.12,clear sky
195,Hami,CN,42.8,93.45,27.43,26,95,15.55,overcast clouds
196,Ukiah,US,39.1502,-123.2078,57.97,84,100,1.25,overcast clouds
197,Srednekolymsk,RU,67.45,153.6833,-39.89,100,47,3.94,scattered clouds
198,Nanortalik,GL,60.1432,-45.2371,14.05,58,17,24.65,few clouds
199,Svetlogorsk,BY,52.6333,29.7333,33.48,92,100,17.96,overcast clouds
200,Kinablangan,PH,7.6947,126.5503,77.27,85,59,6.02,broken clouds
201,Mackay,AU,-21.15,149.2,74.68,83,75,14.97,broken clouds
202,Port Hedland,AU,-20.3167,118.5667,86.05,74,78,8.05,broken clouds
203,Coquimbo,CL,-29.9533,-71.3436,67.73,77,20,13.8,few clouds
204,Vrangel,RU,42.7297,133.0839,10.8,61,8,18.16,clear sky
205,Puerto Leguizamo,CO,-0.1934,-74.7819,82.2,77,88,1.72,heavy intensity rain
206,Avera,US,33.194,-82.5271,47.93,48,24,8.21,few clouds
